nom,adresse,coordonnees,,Id,rue,code_postal,ville
"
Macopa Amap De Boismé","Ancienne École De Boismé
79300
Boisme",,,id_1151,Ancienne École De Boismé,CP_79300,Boisme
"
Maintenon L'Amap","19 Rue Georges Lejars
28130
Maintenon",,,id_1152,19 Rue Georges Lejars,CP_28130,Maintenon
Mamap,"Avenue De La Madeleine
41800
Montoire",,,id_1153,Avenue De La Madeleine,CP_41800,Montoire
Mon Biau Panier,"70400
Tremoins",,,id_1154,,CP_70400,Tremoins
Natur'Amap,"Salle De La Piscine Rue Du Foirail
15230
Pierrefort",,,id_1155,Salle De La Piscine Rue Du Foirail,CP_15230,Pierrefort
"
Nature Amap Porte","Jardinerie Du Lycée Du Fresne
49130
Sainte Gemmes Sur Loire",,,id_1156,Jardinerie Du Lycée Du Fresne,CP_49130,Sainte Gemmes Sur Loire
"
Notre Amap D'Oé","Salle Blancat (Salle Attenante Au Gymnase)
37390
Notre Dame D’Oe",,,id_1157,Salle Blancat (Salle Attenante Au Gymnase),CP_37390,Notre Dame D’Oe
"
Pacé Ã L'Amap","Maison Des Associations - Espace Le Goffic
35740
Pacé",,,id_1158,Maison Des Associations - Espace Le Goffic,CP_35740,Pacé
"
Pacham'Amap 25","25000
Besançon",,,id_1159,,CP_25000,Besançon
Panier Paysans Lauzach-Berric,"Salle Polyvalente
56190
Lauzach",,,id_1160,Salle Polyvalente,CP_56190,Lauzach
Panier Potager Du Pays De Vannes,"47 Rue de l'Hopital
56890
Saint-Avé",,,id_1161,47 Rue de l'Hopital,CP_56890,Saint-Avé
Paniers De L'Anoph',"A Rue Gaston Veil 44000 Nantes
44000
Nantes",,,id_1162,A Rue Gaston Veil 44000 Nantes,CP_44000,Nantes
"
Paniers D'Ici","Rue Du Kobenberg
57600
Forbach",,,id_1163,Rue Du Kobenberg,CP_57600,Forbach
Pâquerette Et Macadam,"81 Rue Nationale
72000
Le Mans",,,id_1164,81 Rue Nationale,CP_72000,Le Mans
"
Pays D'Auge","14100
Beuvillers",,,id_1165,,CP_14100,Beuvillers
Perm'Amap66,"Jardin D’André Chemin Sainte-Eugénie
66200
Elne",,,id_1166,Jardin D’André Chemin Sainte-Eugénie,CP_66200,Elne
"
Ploub'Amap","9 Rue Du Clos Neuf
22650
Ploubalay",,,id_1167,9 Rue Du Clos Neuf,CP_22650,Ploubalay
Pondi Amap,"Maison Des Associations, 6, Quai Du Plessis
56300
Pontivy",,,id_1168,"Maison Des Associations, 6, Quai Du Plessis",CP_56300,Pontivy
Potamap,"La Maison Neuve, La Galonnière
35210
Chatillon-En-Vendelais",,,id_1169,"La Maison Neuve, La Galonnière",CP_35210,Chatillon-En-Vendelais
"
Prends-En De La Graine","Maison Pour Tous (Mpt) - Centre Social, Salle Du Sous-Sol
29800
Landerneau",,,id_1170,"Maison Pour Tous (Mpt) - Centre Social, Salle Du Sous-Sol",CP_29800,Landerneau
"
Prends-En De La Graine","36 Rue Principale
57580
Vatimont",,,id_1171,36 Rue Principale,CP_57580,Vatimont
"
Pres D'Ici","34 Rue Rabelais
85200
Fontenay-le-Comte",,,id_1172,34 Rue Rabelais,CP_85200,Fontenay-le-Comte
Rhenamap,"Mulhouse Site Dmc, 57 Rue De Pfastatt
68640
Muespach",,,id_1173,"Mulhouse Site Dmc, 57 Rue De Pfastatt",CP_68640,Muespach
Robins Des Bios - Amap Loire Velay,"Château Des Evêques 4 Bis Allée Du Château
43120
Monistrol Sur Loire",,,id_1174,Château Des Evêques 4 Bis Allée Du Château,CP_43120,Monistrol Sur Loire
Sainbioz,"1569 Avenue de la Division Leclerc
88300
Neufchâteau",,,id_1175,1569 Avenue de la Division Leclerc,CP_88300,Neufchâteau
"
Salade De Cressot - Amap De Montigny-Lès-Metz","École Élémentaire Joseph Cressot
57950
Montigny-Lès-Metz",,,id_1176,École Élémentaire Joseph Cressot,CP_57950,Montigny-Lès-Metz
"
Saveurs Du Râble","La Giraudais
53410
Launay Villiers",,,id_1177,La Giraudais,CP_53410,Launay Villiers
"
Saveurs Et Savoirs","704 Avenue de la Gare
27610
Romilly-sur-Andelle",,,id_1178,704 Avenue de la Gare,CP_27610,Romilly-sur-Andelle
"
Serre Du Pont D'Or","Chemin de Pauvre Menage
30300
Jonquières-Saint-Vincent",,,id_1179,Chemin de Pauvre Menage,CP_30300,Jonquières-Saint-Vincent
"
Siam Amap'Orte","26 Rue Choquet de Lindu
29200
Brest",,,id_1180,26 Rue Choquet de Lindu,CP_29200,Brest
"
St Pierre Du Jonquet","Hameau Rupierre
14670
St Pierre Du Jonquet",,,id_1181,Hameau Rupierre,CP_14670,St Pierre Du Jonquet
Stan'Amap,"6 Rue Stanislas
54000
Nancy",,,id_1182,6 Rue Stanislas,CP_54000,Nancy
"
Stan'Amap Amap De Stanislas","6 Rue Stanislas
54000
Nancy",,double,id_1183,6 Rue Stanislas,CP_54000,Nancy
Teikei Homme De Terre,"La ferme lo Trescalan rue du Couvent
34725
Saint-André-de-Sangonis",,,id_1184,La ferme lo Trescalan rue du Couvent,CP_34725,Saint-André-de-Sangonis
"
Terres De Loire","1 Rue de la Pierre Blanche
45190
Beaugency",,,id_1185,1 Rue de la Pierre Blanche,CP_45190,Beaugency
Thuramap,"24 Rue Des Fauvettes, Cité Langenzug
68310
Wittelsheim",,,id_1186,"24 Rue Des Fauvettes, Cité Langenzug",CP_68310,Wittelsheim
Tifañchmflo,"La Ville Neuve D'En Haut
22150
Henon",,,id_1187,La Ville Neuve D'En Haut,CP_22150,Henon
"
Vertou Amap (Vertou Ecologie Solidarité)","11 Impasse des Perdriaux
44120
Vertou",,,id_1188,11 Impasse des Perdriaux,CP_44120,Vertou
Amap Boismé,"79300
Bressuire",,,id_1189,,CP_79300,Bressuire
"
Amap De Ballon","1 Rue des Rampots
17290
Ballon",,,id_1190,1 Rue des Rampots,CP_17290,Ballon
"
Amap Douce Racine","28, Rue De LAunis
17290
Aigrefeuille",,,id_1191,"28, Rue De LAunis",CP_17290,Aigrefeuille
"
Amap Du Mont De Marsan","Salle G. Brassens, 285 Rue Pierre Benoit
40000
Mont-de-Marsan",,,id_1192,"Salle G. Brassens, 285 Rue Pierre Benoit",CP_40000,Mont-de-Marsan
"
Amap Du Vexin","23 Rue De La République
60240
Chaumont-En-Vexin",,,id_1193,23 Rue De La République,CP_60240,Chaumont-En-Vexin
"
Point Collecte Amap Château Rouge Annemasse","74100
Annemasse",,,id_1194,,CP_74100,Annemasse
Amap Sceaux Et Brouettes,"68 Rue Houdan
92330
Sceaux",,,id_1195,68 Rue Houdan,CP_92330,Sceaux
"
Amap À Marcq","Rue des Tisserands
59700
Marcq-en-Barœul",,,id_1196,Rue des Tisserands,CP_59700,Marcq-en-Barœul
Amap Belles Fontaines De La Vallee,"22 Avenue du Marechal Villars
77300
Fontainebleau",,,id_1197,22 Avenue du Marechal Villars,CP_77300,Fontainebleau
"
Amap Bio Devant","48 Rue du Capitaine Guynemer
92400
Courbevoie",,,id_1198,48 Rue du Capitaine Guynemer,CP_92400,Courbevoie
Amap Blomet Grands Prés - Vaugirard,"210 Rue de Vaugirard
75015
Paris",,,id_1199,210 Rue de Vaugirard,CP_75015,Paris
"
Amap Champs Libres","96 Rue Fernand Desmazieres
62131
Verquin",,,id_1200,96 Rue Fernand Desmazieres,CP_62131,Verquin
"
Amap De La Bugallière","Rue du Pont Marchand
44700
Orvault",,,id_1201,Rue du Pont Marchand,CP_44700,Orvault
Amap De L'Hippodrome,"Bld Des Tribunes Nantes Nord
44300
Nantes",,,id_1202,Bld Des Tribunes Nantes Nord,CP_44300,Nantes
"
Amap De L'Ile","8 Rue Vincent Gâche Ile De Nantes
44200
Nantes",,,id_1203,8 Rue Vincent Gâche Ile De Nantes,CP_44200,Nantes
"
Amap Des Deux Rives","10 Rue De La Cateline
77250
Écuelles",,,id_1204,10 Rue De La Cateline,CP_77250,Écuelles
"
Amap Des Lapereaux Des Thermophyles","29 Boulevard Brune
75014
Paris",,,id_1205,29 Boulevard Brune,CP_75014,Paris
