Identifiant unique ,Données renseignées de l'AMAP ,,,,,"Commune, code commune INSEE",,Bassin de vie,,Zone d'emploi,,Coordonnées,,Autre,
id,amap,adresse,rue,code_postal,commune_renseignee,commune_corrigee,CODGEO,BV2022,LIBBV2022,ZE2020,LIBZE2020,latitude,longitude,doublon (1 si oui),Rq
id_38,Amap De Largentière,"Avenue Félicien Blanc
07110
Largentière",Avenue Félicien Blanc,CP_07110,Largentière,Largentière,CI_07132,BV_07132,Largentière,ZE_8402,Aubenas,"44,5415459","4,2917755",,
id_39,Amap De L'Ondaine,"5 Rue Jean Jaures
42240
Unieux",5 Rue Jean Jaures,CP_42240,Unieux,Unieux,CI_42316,BV_42218,Saint-Étienne,ZE_8428,Saint Etienne,"45,3951907","4,2808928",,
id_40,Amap De L'Onzon,"47 Rue Mirabeau
42350
La Talaudière",47 Rue Mirabeau,CP_42350,La Talaudière,La Talaudière,CI_42305,BV_42218,Saint-Étienne,ZE_8428,Saint Etienne,"45,4801192","4,4284712",,
id_41,Amap De Marnand,"Le Bourg Marnand
69240
Thizy-les-Bourgs",Le Bourg Marnand,CP_69240,Thizy-les-Bourgs,Thizy-les-Bourgs,CI_69248,BV_69248,Thizy-les-Bourgs,ZE_8430,Tarare,"46,0350538","4,3295885",,
id_42,Amap De Montmaur - Marès,"Borde Neuve
11320
Montmaur",Borde Neuve,CP_11320,Montmaur,Montmaur,CI_11252,BV_31582,Villefranche-de-Lauragais,ZE_7625,Toulouse,"43,4042112","1,8359635",,
id_43,Amap De Montmélian,"Rue Antoine Bonnel
73800
Montmélian",Rue Antoine Bonnel,CP_73800,Montmélian,Montmélian,CI_73171,BV_73171,Montmélian,ZE_8407,Chambéry,45.5134,6.1388,,
id_44,Amap De Nyons,"Promenade La Digue
26110
Nyons",Promenade La Digue,CP_26110,Nyons,Nyons,CI_26220,BV_26220,Nyons,ZE_0064,Valréas,"44,3586656","5,1405041",,
id_45,Amap De Roanne,"16 bis Rue du Mayollet
42300
Roanne",16 bis Rue du Mayollet,CP_42300,Roanne,Roanne,CI_42187,BV_42187,Roanne,ZE_8426,Roanne,"46,0244624","4,0488148",,
id_46,Amap De Saint Paul En Jarez,"80 Rue Anciens Combattants d'Afn
42740
Saint-Paul-en-Jarez",80 Rue Anciens Combattants d'Afn,CP_42740,Saint-Paul-en-Jarez,Saint-Paul-en-Jarez,CI_42271,BV_42103,La Grand-Croix,ZE_8428,Saint Etienne,45.4479,4.5821,,
id_47,Amap De Serrières De Briord,"Place de la Poste
01470
Serrières-de-Briord",Place de la Poste,CP_01470,Serrières-de-Briord,Serrières-de-Briord,CI_01403,BV_38247,Montalieu-Vercieu,ZE_8405,Bourg en Bresse,45.7829,5.4589,,
